=== CONFORMANCE CORPUS — ACCEPT/REJECT TABLE ===
accepted? per validator; PASS means the validator matched the fixture's declared expectation

fixture                                                                        expect  pydantic  zod    agree  verdict
invalid/defs-material-properties-roughness-type-parts-0-material-roughness.json reject  False     False  True   PASS
invalid/defs-material-required-parts-0-material-color.json                     reject  False     False  True   PASS
invalid/defs-material-type-parts-0-material.json                               reject  False     False  True   PASS
invalid/defs-part-additionalproperties-parts-0-not-a-real-field.json           reject  False     False  True   PASS
invalid/defs-part-properties-aliases-items-maxlength-parts-0-aliases-0.json    reject  False     False  True   PASS
invalid/defs-part-properties-aliases-items-minlength-parts-0-aliases-0.json    reject  False     False  True   PASS
invalid/defs-part-properties-aliases-items-type-parts-0-aliases-0.json         reject  False     False  True   PASS
invalid/defs-part-properties-aliases-maxitems-parts-0-aliases.json             reject  False     False  True   PASS
invalid/defs-part-properties-aliases-type-parts-0-aliases.json                 reject  False     False  True   PASS
invalid/defs-part-properties-clip-exempt-type-parts-0-clip-exempt.json         reject  False     False  True   PASS
invalid/defs-part-properties-importance-enum-parts-0-importance.json           reject  False     False  True   PASS
invalid/defs-part-properties-name-maxlength-parts-0-name.json                  reject  False     False  True   PASS
invalid/defs-part-properties-name-minlength-parts-0-name.json                  reject  False     False  True   PASS
invalid/defs-part-properties-name-type-parts-0-name.json                       reject  False     False  True   PASS
invalid/defs-part-required-parts-0-geometry.json                               reject  False     False  True   PASS
invalid/defs-part-required-parts-0-id.json                                     reject  False     False  True   PASS
invalid/defs-part-required-parts-0-material.json                               reject  False     False  True   PASS
invalid/defs-part-required-parts-0-name.json                                   reject  False     False  True   PASS
invalid/defs-part-required-parts-0-provenance.json                             reject  False     False  True   PASS
invalid/defs-part-type-parts-0.json                                            reject  False     False  True   PASS
invalid/defs-partid-pattern-parts-0-id.json                                    reject  False     False  True   PASS
invalid/defs-partid-type-parts-0-id.json                                       reject  False     False  True   PASS
invalid/defs-provenance-additionalproperties-parts-0-provenance-not-a-real-field.json reject  False     False  True   PASS
invalid/defs-provenance-properties-chunk-ids-items-maxlength-parts-0-provenance-chunk-ids-0.json reject  False     False  True   PASS
invalid/defs-provenance-properties-chunk-ids-items-minlength-parts-0-provenance-chunk-ids-0.json reject  False     False  True   PASS
invalid/defs-provenance-properties-chunk-ids-items-type-parts-0-provenance-chunk-ids-0.json reject  False     False  True   PASS
invalid/defs-provenance-properties-chunk-ids-maxitems-parts-0-provenance-chunk-ids.json reject  False     False  True   PASS
invalid/defs-provenance-properties-chunk-ids-minitems-parts-0-provenance-chunk-ids.json reject  False     False  True   PASS
invalid/defs-provenance-properties-chunk-ids-type-parts-0-provenance-chunk-ids.json reject  False     False  True   PASS
invalid/defs-provenance-properties-evidence-maxlength-parts-0-provenance-evidence.json reject  False     False  True   PASS
invalid/defs-provenance-properties-evidence-type-parts-0-provenance-evidence.json reject  False     False  True   PASS
invalid/defs-provenance-required-parts-0-provenance-chunk-ids.json             reject  False     False  True   PASS
invalid/defs-provenance-type-parts-0-provenance.json                           reject  False     False  True   PASS
invalid/defs-sphere-additionalproperties-parts-0-geometry-not-a-real-field.json reject  False     False  True   PASS
invalid/defs-sphere-properties-radius-exclusiveminimum-parts-0-geometry-radius.json reject  False     False  True   PASS
invalid/defs-sphere-properties-radius-maximum-parts-0-geometry-radius.json     reject  False     False  True   PASS
invalid/defs-sphere-properties-radius-type-parts-0-geometry-radius.json        reject  False     False  True   PASS
invalid/defs-sphere-properties-type-const-parts-0-geometry-type.json           reject  False     False  True   PASS
invalid/defs-sphere-properties-type-type-parts-0-geometry-type.json            reject  False     False  True   PASS
invalid/defs-sphere-required-parts-0-geometry-radius.json                      reject  False     False  True   PASS
invalid/defs-sphere-required-parts-0-geometry-type.json                        reject  False     False  True   PASS
invalid/defs-sphere-type-parts-0-geometry.json                                 reject  False     False  True   PASS
invalid/defs-torus-additionalproperties-parts-0-geometry-not-a-real-field.json reject  False     False  True   PASS
invalid/defs-torus-properties-radius-exclusiveminimum-parts-0-geometry-radius.json reject  False     False  True   PASS
invalid/defs-torus-properties-radius-maximum-parts-0-geometry-radius.json      reject  False     False  True   PASS
invalid/defs-torus-properties-radius-type-parts-0-geometry-radius.json         reject  False     False  True   PASS
invalid/defs-torus-properties-tube-exclusiveminimum-parts-0-geometry-tube.json reject  False     False  True   PASS
invalid/defs-torus-properties-tube-maximum-parts-0-geometry-tube.json          reject  False     False  True   PASS
invalid/defs-torus-properties-tube-type-parts-0-geometry-tube.json             reject  False     False  True   PASS
invalid/defs-torus-properties-type-const-parts-0-geometry-type.json            reject  False     False  True   PASS
invalid/defs-torus-properties-type-type-parts-0-geometry-type.json             reject  False     False  True   PASS
invalid/defs-torus-required-parts-0-geometry-radius.json                       reject  False     False  True   PASS
invalid/defs-torus-required-parts-0-geometry-tube.json                         reject  False     False  True   PASS
invalid/defs-torus-required-parts-0-geometry-type.json                         reject  False     False  True   PASS
invalid/defs-torus-type-parts-0-geometry.json                                  reject  False     False  True   PASS
invalid/defs-transform-additionalproperties-parts-0-transform-not-a-real-field.json reject  False     False  True   PASS
invalid/defs-transform-properties-rotation-items-maximum-parts-0-transform-rotation-0.json reject  False     False  True   PASS
invalid/defs-transform-properties-rotation-items-minimum-parts-0-transform-rotation-0.json reject  False     False  True   PASS
invalid/defs-transform-properties-rotation-items-type-parts-0-transform-rotation-0.json reject  False     False  True   PASS
invalid/defs-transform-properties-rotation-maxitems-parts-0-transform-rotation.json reject  False     False  True   PASS
invalid/defs-transform-properties-rotation-minitems-parts-0-transform-rotation.json reject  False     False  True   PASS
invalid/defs-transform-properties-rotation-type-parts-0-transform-rotation.json reject  False     False  True   PASS
invalid/defs-transform-properties-scale-items-exclusiveminimum-parts-0-transform-scale-0.json reject  False     False  True   PASS
invalid/defs-transform-properties-scale-items-maximum-parts-0-transform-scale-0.json reject  False     False  True   PASS
invalid/defs-transform-properties-scale-items-type-parts-0-transform-scale-0.json reject  False     False  True   PASS
invalid/defs-transform-properties-scale-maxitems-parts-0-transform-scale.json  reject  False     False  True   PASS
invalid/defs-transform-properties-scale-minitems-parts-0-transform-scale.json  reject  False     False  True   PASS
invalid/defs-transform-properties-scale-type-parts-0-transform-scale.json      reject  False     False  True   PASS
invalid/defs-transform-type-parts-0-transform.json                             reject  False     False  True   PASS
invalid/defs-tube-additionalproperties-parts-0-geometry-not-a-real-field.json  reject  False     False  True   PASS
invalid/defs-tube-properties-closed-type-parts-0-geometry-closed.json          reject  False     False  True   PASS
invalid/defs-tube-properties-path-maxitems-parts-0-geometry-path.json          reject  False     False  True   PASS
invalid/defs-tube-properties-path-minitems-parts-0-geometry-path.json          reject  False     False  True   PASS
invalid/defs-tube-properties-path-type-parts-0-geometry-path.json              reject  False     False  True   PASS
invalid/defs-tube-properties-radius-exclusiveminimum-parts-0-geometry-radius.json reject  False     False  True   PASS
invalid/defs-tube-properties-radius-maximum-parts-0-geometry-radius.json       reject  False     False  True   PASS
invalid/defs-tube-properties-radius-type-parts-0-geometry-radius.json          reject  False     False  True   PASS
invalid/defs-tube-properties-type-const-parts-0-geometry-type.json             reject  False     False  True   PASS
invalid/defs-tube-properties-type-type-parts-0-geometry-type.json              reject  False     False  True   PASS
invalid/defs-tube-required-parts-0-geometry-path.json                          reject  False     False  True   PASS
invalid/defs-tube-required-parts-0-geometry-radius.json                        reject  False     False  True   PASS
invalid/defs-tube-required-parts-0-geometry-type.json                          reject  False     False  True   PASS
invalid/defs-tube-type-parts-0-geometry.json                                   reject  False     False  True   PASS
invalid/defs-vec2-items-maximum-parts-0-geometry-profile-0-0.json              reject  False     False  True   PASS
invalid/defs-vec2-items-minimum-parts-0-geometry-profile-0-0.json              reject  False     False  True   PASS
invalid/defs-vec2-items-type-parts-0-geometry-profile-0-0.json                 reject  False     False  True   PASS
invalid/defs-vec2-maxitems-parts-0-geometry-profile-0.json                     reject  False     False  True   PASS
invalid/defs-vec2-minitems-parts-0-geometry-profile-0.json                     reject  False     False  True   PASS
invalid/defs-vec2-type-parts-0-geometry-profile-0.json                         reject  False     False  True   PASS
invalid/defs-vec3-items-maximum-parts-0-transform-position-0.json              reject  False     False  True   PASS
invalid/defs-vec3-items-minimum-parts-0-transform-position-0.json              reject  False     False  True   PASS
invalid/defs-vec3-items-type-parts-0-transform-position-0.json                 reject  False     False  True   PASS
invalid/defs-vec3-maxitems-parts-0-transform-position.json                     reject  False     False  True   PASS
invalid/defs-vec3-minitems-parts-0-transform-position.json                     reject  False     False  True   PASS
invalid/defs-vec3-type-parts-0-transform-position.json                         reject  False     False  True   PASS
invalid/handwritten-geometry-mismatched-tag-and-fields.json                    reject  False     False  True   PASS
invalid/handwritten-geometry-missing-type-tag.json                             reject  False     False  True   PASS
invalid/handwritten-geometry-unknown-type.json                                 reject  False     False  True   PASS
invalid/properties-parts-maxitems-parts.json                                   reject  False     False  True   PASS
invalid/properties-parts-minitems-parts.json                                   reject  False     False  True   PASS
invalid/properties-parts-type-parts.json                                       reject  False     False  True   PASS
invalid/properties-schema-version-const-schema-version.json                    reject  False     False  True   PASS
invalid/properties-schema-version-type-schema-version.json                     reject  False     False  True   PASS
invalid/properties-topic-pattern-topic.json                                    reject  False     False  True   PASS
invalid/properties-topic-type-topic.json                                       reject  False     False  True   PASS
invalid/required-parts.json                                                    reject  False     False  True   PASS
invalid/required-schema-version.json                                           reject  False     False  True   PASS
invalid/required-title.json                                                    reject  False     False  True   PASS
invalid/required-topic.json                                                    reject  False     False  True   PASS
invalid/type.json                                                              reject  False     False  True   PASS
--------------------------------------------------------------------------------------------------------------------------
fixtures: 226  (valid 6, invalid 220)
cross-validator disagreements: 0
fixtures not matching their declared expectation: 0
